#subdirs num_files size20180425T170907Z_aro_vdif 562 36Gb 1 1
20180425T171000Z_aro_vdif 809 52Gb 1 1
20180425T171124Z_aro_vdif 3844 247Gb 1 4
20180425T180605Z_aro_vdif 34969 2253Gb 4 5
20180425T191026Z_aro_vdif 2033 131Gb 1 3
20180425T192145Z_aro_vdif 17867 1151Gb 2 8
20180425T201306Z_aro_vdif 107418 6923Gb 11 8
20180425T230421Z_aro_vdif 41576 2679Gb 5 2
20180426T002608Z_aro_vdif 25145 1620Gb 3 6
20180426T010718Z_aro_vdif 6333 408Gb 1 7
20180426T013256Z_aro_vdif 23280 1500Gb 3 4
20180426T020805Z_aro_vdif 19905 1282Gb 2 10
